Mediation,Social,Lawyer,Accounting,Architect,Paramedical,psychologist,Pharmacist,Nursing,Dentist,Yesuv_type,SEMEL_YESUV
26,26,43,12,109,21,0,0,99,17,2,469
31,76,76,34,135,70,19,5,97,32,2,3640
7,50,51,17,39,59,0,30,127,85,2,543
10,39,33,5,19,19,9,0,42,39,2,26
17,39,39,24,74,49,6,30,111,86,2,542
17,9,9,7,22,18,0,0,24,3,2,922
37,81,80,25,150,45,18,0,81,46,2,122
0,16,20,0,11,27,0,14,143,43,2,913
0,9,0,0,8,8,0,9,41,42,2,1286
112,171,413,162,416,154,74,34,125,161,2,1304
20,12,21,13,76,8,0,0,87,32,2,812
0,22,19,0,11,20,6,13,84,26,2,538
69,69,194,80,210,103,74,16,77,86,2,154
0,20,19,0,11,20,0,14,46,64,2,1054
6,27,11,6,78,14,0,14,67,54,2,9
0,9,8,0,8,7,0,15,33,46,3,69
7,23,15,0,10,10,0,13,72,60,3,65
6,19,17,0,26,22,6,0,20,8,3,45
18,178,59,18,130,97,40,0,168,31,3,38
50,124,166,51,203,115,41,9,177,72,3,33
0,18,30,7,27,29,7,23,81,76,3,66
17,180,30,35,157,93,53,0,124,105,3,41
50,81,210,36,122,71,35,0,73,47,3,28
21,39,90,26,84,36,27,0,47,38,3,32
27,220,81,18,139,124,29,6,189,40,3,71
59,362,213,48,188,208,91,12,329,153,3,76
82,215,354,101,337,204,90,28,222,149,3,30
22,42,103,39,99,44,17,7,36,45,3,27
118,254,491,119,422,192,153,33,281,217,3,20
35,188,153,50,194,176,42,41,378,128,3,8
26,312,83,47,131,209,47,5,219,65,3,1
25,169,108,33,113,116,35,5,140,87,3,3
0,25,14,0,27,22,10,0,35,8,3,54
10,148,32,21,93,65,13,0,130,39,3,78
18,101,99,45,141,96,46,6,128,65,3,12
9,50,18,12,36,38,13,0,31,17,3,53
14,80,13,21,41,59,16,0,65,25,3,29
70,156,298,85,234,119,64,0,122,108,3,25
43,167,180,60,171,116,23,9,148,71,3,36
183,284,475,122,531,209,104,18,246,295,3,15
40,104,216,44,180,103,55,6,90,83,3,19
17,92,60,15,101,81,34,7,75,57,3,35
96,139,268,91,275,132,78,10,164,114,3,18
17,141,82,32,110,83,22,0,98,36,3,50
16,86,55,11,66,55,14,0,55,32,3,55
16,141,68,22,153,119,46,0,123,56,3,13
0,34,13,0,17,12,0,0,21,4,3,74
48,291,244,74,244,203,81,16,309,145,3,4
167,706,488,182,578,468,129,43,772,184,3,73
10,478,33,128,530,366,251,45,530,427,3,26
41,190,143,47,208,163,64,21,268,113,3,14
27,70,60,22,96,42,14,0,91,36,3,52
36,87,62,20,73,38,18,0,134,43,3,2
27,99,81,34,109,34,13,0,69,18,3,42
39,393,188,63,518,267,146,30,304,207,3,56
0,0,0,0,0,0,0,0,12,7,3,68
47,73,83,39,64,65,12,0,94,29,3,31
30,111,72,31,108,95,23,0,176,50,3,6
15,165,51,23,113,112,24,0,157,22,3,7
115,382,491,151,478,336,187,26,382,236,3,16
81,533,377,129,601,364,200,22,486,337,3,9
8,66,38,9,31,28,9,0,57,9,3,75
7,100,28,6,98,59,21,6,62,39,3,48
49,40,141,42,60,54,21,5,68,41,3,40
16,112,46,24,84,70,8,0,76,20,3,39
112,484,383,161,580,388,98,20,544,99,3,72
11,149,54,24,73,75,24,5,75,23,3,37
33,115,79,33,79,83,12,5,87,16,3,34
0,10,4,0,12,5,0,0,12,0,3,51
